iter	RMSE
0	626.8247738
1	589.7809125
2	557.5353864
3	529.3601724
4	500.7171516
5	475.8008046
6	454.1228104
7	433.8169952
8	416.5572425
9	401.8682599
10	387.9161695
11	375.1711884
12	364.3652541
13	353.1038462
14	344.1075904
15	334.7480448
16	328.01197
17	321.4370312
18	315.3041469
19	309.8560885
20	302.6335622
21	297.7764459
22	292.9883337
23	288.8625859
24	284.5727724
25	280.1099653
26	276.9389061
27	273.0990748
28	270.1429891
29	267.3715594
30	263.6167551
31	260.2511331
32	258.1599348
33	255.7124079
34	253.2936866
35	250.8953272
36	248.7797444
37	247.0140076
38	245.2779692
39	243.4789992
40	241.3619511
41	239.2997276
42	237.4154516
43	236.2350416
44	234.6990861
45	232.9855026
46	230.8530461
47	229.0996571
48	226.9195569
49	225.8373373
50	224.5604697
51	223.533294
52	222.3383443
53	220.8092957
54	219.4874944
55	218.5854585
56	217.5314244
57	216.8419713
58	215.9509731
59	215.0358094
60	214.4147875
61	213.1714757
62	212.5966901
63	211.3537325
64	210.6566968
65	209.9967549
66	209.0593097
67	208.560175
68	208.0007448
69	207.5379549
70	206.9328013
71	206.3099402
72	204.9540763
73	202.9922701
74	201.6533095
75	201.2710915
76	200.5856167
77	199.4016704
78	198.2887778
79	197.3174984
80	196.2608722
81	195.916674
82	195.5743503
83	194.260442
84	193.6906647
85	193.2446536
86	192.0691859
87	191.6976846
88	190.8604672
89	190.6528222
90	190.3115543
91	188.7994994
92	188.4256589
93	187.5695706
94	187.1267677
95	186.4786235
96	186.171838
97	185.8412038
98	185.528956
99	184.7871742
