iter	Passed	Remaining
0	1	174
1	2	146
2	4	135
3	5	126
4	6	120
5	7	121
6	9	123
7	10	119
8	11	118
9	12	111
10	14	114
11	15	114
12	16	112
13	18	110
14	19	108
15	20	106
16	21	106
17	22	104
18	24	103
19	25	100
20	26	99
21	26	95
22	28	94
23	29	94
24	31	93
25	32	91
26	33	89
27	34	88
28	35	86
29	36	84
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	67
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	90	21
81	91	19
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	102	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
