season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered
1,0,0,6,0,1,0.24,0.81,0.0,3,13
1,1,0,6,0,1,0.22,0.8,0.0,8,32
1,2,0,6,0,1,0.22,0.8,0.0,5,27
1,3,0,6,0,1,0.24,0.75,0.0,3,10
1,4,0,6,0,1,0.24,0.75,0.0,0,1
1,5,0,6,0,2,0.24,0.75,0.0896,0,1
1,6,0,6,0,1,0.22,0.8,0.0,2,0
1,7,0,6,0,1,0.2,0.86,0.0,1,2
1,8,0,6,0,1,0.24,0.75,0.0,1,7
1,9,0,6,0,1,0.32,0.76,0.0,8,6
1,10,0,6,0,1,0.38,0.76,0.2537,12,24
1,11,0,6,0,1,0.36,0.81,0.2836,26,30
1,12,0,6,0,1,0.42,0.77,0.2836,29,55
1,13,0,6,0,2,0.46,0.72,0.2985,47,47
1,14,0,6,0,2,0.46,0.72,0.2836,35,71
1,15,0,6,0,2,0.44,0.77,0.2985,40,70
1,16,0,6,0,2,0.42,0.82,0.2985,41,52
1,17,0,6,0,2,0.44,0.82,0.2836,15,52
1,18,0,6,0,3,0.42,0.88,0.2537,9,26
1,19,0,6,0,3,0.42,0.88,0.2537,6,31
1,20,0,6,0,2,0.4,0.87,0.2537,11,25
1,21,0,6,0,2,0.4,0.87,0.194,3,31
1,22,0,6,0,2,0.4,0.94,0.2239,11,17
1,23,0,6,0,2,0.46,0.88,0.2985,15,24
1,0,0,0,0,2,0.46,0.88,0.2985,4,13
1,1,0,0,0,2,0.44,0.94,0.2537,1,16
1,2,0,0,0,2,0.42,1.0,0.2836,1,8
1,3,0,0,0,2,0.46,0.94,0.194,2,4
1,4,0,0,0,2,0.46,0.94,0.194,2,1
1,6,0,0,0,3,0.42,0.77,0.2985,0,2
1,7,0,0,0,2,0.4,0.76,0.194,0,1
1,8,0,0,0,3,0.4,0.71,0.2239,0,8
1,9,0,0,0,2,0.38,0.76,0.2239,1,19
1,10,0,0,0,2,0.36,0.81,0.2239,7,46
1,11,0,0,0,2,0.36,0.71,0.2537,16,54
1,12,0,0,0,2,0.36,0.66,0.2985,20,73
1,13,0,0,0,2,0.36,0.66,0.1343,11,64
1,14,0,0,0,3,0.36,0.76,0.194,4,55
1,15,0,0,0,3,0.34,0.81,0.1642,19,55
1,16,0,0,0,3,0.34,0.71,0.1642,9,67
1,17,0,0,0,1,0.34,0.57,0.194,7,58
1,18,0,0,0,2,0.36,0.46,0.3284,10,43
1,19,0,0,0,1,0.32,0.42,0.4478,1,29
1,20,0,0,0,1,0.3,0.39,0.3582,5,17
1,21,0,0,0,1,0.26,0.44,0.3284,11,20
1,22,0,0,0,1,0.24,0.44,0.2985,0,9
1,23,0,0,0,1,0.22,0.47,0.1642,0,8
